"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","45 years","Cork City Council","Number","3078"
"Population","2022","Both sexes","45 years","Cork County Council","Number","5719"
"Population","2022","Both sexes","45 years","Kerry County Council","Number","2264"
"Population","2022","Both sexes","45 years","Limerick City & County Council","Number","3059"
"Population","2022","Both sexes","45 years","Tipperary County Council","Number","2443"
"Population","2022","Both sexes","45 years","Waterford City & County Council","Number","1919"
"Population","2022","Both sexes","45 years","Galway City Council","Number","1215"
"Population","2022","Both sexes","45 years","Galway County Council","Number","3038"
"Population","2022","Both sexes","45 years","Leitrim County Council","Number","506"
"Population","2022","Both sexes","45 years","Mayo  County Council","Number","1877"
"Population","2022","Both sexes","45 years","Roscommon County Council","Number","951"
"Population","2022","Both sexes","45 years","Sligo County Council","Number","1000"
"Population","2022","Both sexes","45 years","Cavan County Council","Number","1125"
"Population","2022","Both sexes","45 years","Donegal County Council","Number","2428"
"Population","2022","Both sexes","45 years","Monaghan County Council","Number","969"
"Population","2022","Both sexes","46 years","Ireland","Number","75416"
"Population","2022","Both sexes","46 years","Carlow County Council","Number","949"
"Population","2022","Both sexes","46 years","Dublin City Council","Number","7704"
"Population","2022","Both sexes","46 years","Dún Laoghaire Rathdown County Council","Number","3152"
"Population","2022","Both sexes","46 years","Fingal County Council","Number","5452"
"Population","2022","Both sexes","46 years","South Dublin County Council","Number","4446"
"Population","2022","Both sexes","46 years","Kildare County Council","Number","3946"
"Population","2022","Both sexes","46 years","Kilkenny County Council","Number","1620"
"Population","2022","Both sexes","46 years","Laois County Council","Number","1376"
"Population","2022","Both sexes","46 years","Longford County Council","Number","667"
"Population","2022","Both sexes","46 years","Louth County Council","Number","2117"
"Population","2022","Both sexes","46 years","Meath County Council","Number","3594"
"Population","2022","Both sexes","46 years","Offaly County Council","Number","1241"
"Population","2022","Both sexes","46 years","Westmeath County Council","Number","1305"
"Population","2022","Both sexes","46 years","Wexford County Council","Number","2289"
"Population","2022","Both sexes","46 years","Wicklow County Council","Number","2408"
"Population","2022","Both sexes","46 years","Clare County Council","Number","1952"
"Population","2022","Both sexes","46 years","Cork City Council","Number","3035"
"Population","2022","Both sexes","46 years","Cork County Council","Number","5624"
"Population","2022","Both sexes","46 years","Kerry County Council","Number","2273"
"Population","2022","Both sexes","46 years","Limerick City & County Council","Number","3023"
"Population","2022","Both sexes","46 years","Tipperary County Council","Number","2346"
"Population","2022","Both sexes","46 years","Waterford City & County Council","Number","1799"
"Population","2022","Both sexes","46 years","Galway City Council","Number","1210"
"Population","2022","Both sexes","46 years","Galway County Council","Number","2958"
"Population","2022","Both sexes","46 years","Leitrim County Council","Number","490"
"Population","2022","Both sexes","46 years","Mayo  County Council","Number","1950"
"Population","2022","Both sexes","46 years","Roscommon County Council","Number","1000"
"Population","2022","Both sexes","46 years","Sligo County Council","Number","975"
"Population","2022","Both sexes","46 years","Cavan County Council","Number","1152"
"Population","2022","Both sexes","46 years","Donegal County Council","Number","2428"
"Population","2022","Both sexes","46 years","Monaghan County Council","Number","935"
"Population","2022","Both sexes","47 years","Ireland","Number","74524"
"Population","2022","Both sexes","47 years","Carlow County Council","Number","871"
"Population","2022","Both sexes","47 years","Dublin City Council","Number","7408"
"Population","2022","Both sexes","47 years","Dún Laoghaire Rathdown County Council","Number","3137"
"Population","2022","Both sexes","47 years","Fingal County Council","Number","5484"
"Population","2022","Both sexes","47 years","South Dublin County Council","Number","4247"
"Population","2022","Both sexes","47 years","Kildare County Council","Number","3857"
"Population","2022","Both sexes","47 years","Kilkenny County Council","Number","1540"
"Population","2022","Both sexes","47 years","Laois County Council","Number","1339"
"Population","2022","Both sexes","47 years","Longford County Council","Number","681"
"Population","2022","Both sexes","47 years","Louth County Council","Number","2031"
"Population","2022","Both sexes","47 years","Meath County Council","Number","3564"
"Population","2022","Both sexes","47 years","Offaly County Council","Number","1224"
"Population","2022","Both sexes","47 years","Westmeath County Council","Number","1454"
"Population","2022","Both sexes","47 years","Wexford County Council","Number","2345"
"Population","2022","Both sexes","47 years","Wicklow County Council","Number","2458"
"Population","2022","Both sexes","47 years","Clare County Council","Number","1795"
"Population","2022","Both sexes","47 years","Cork City Council","Number","2969"
"Population","2022","Both sexes","47 years","Cork County Council","Number","5651"
"Population","2022","Both sexes","47 years","Kerry County Council","Number","2296"
"Population","2022","Both sexes","47 years","Limerick City & County Council","Number","2973"
"Population","2022","Both sexes","47 years","Tipperary County Council","Number","2500"
"Population","2022","Both sexes","47 years","Waterford City & County Council","Number","1830"
"Population","2022","Both sexes","47 years","Galway City Council","Number","1141"
"Population","2022","Both sexes","47 years","Galway County Council","Number","2896"
"Population","2022","Both sexes","47 years","Leitrim County Council","Number","493"
"Population","2022","Both sexes","47 years","Mayo  County Council","Number","1864"
"Population","2022","Both sexes","47 years","Roscommon County Council","Number","1031"
"Population","2022","Both sexes","47 years","Sligo County Council","Number","1023"
"Population","2022","Both sexes","47 years","Cavan County Council","Number","1158"
"Population","2022","Both sexes","47 years","Donegal County Council","Number","2322"
"Population","2022","Both sexes","47 years","Monaghan County Council","Number","942"
"Population","2022","Both sexes","48 years","Ireland","Number","73617"
"Population","2022","Both sexes","48 years","Carlow County Council","Number","841"
"Population","2022","Both sexes","48 years","Dublin City Council","Number","7478"
"Population","2022","Both sexes","48 years","Dún Laoghaire Rathdown County Council","Number","3184"
"Population","2022","Both sexes","48 years","Fingal County Council","Number","5310"
"Population","2022","Both sexes","48 years","South Dublin County Council","Number","4243"
"Population","2022","Both sexes","48 years","Kildare County Council","Number","3879"
"Population","2022","Both sexes","48 years","Kilkenny County Council","Number","1561"
"Population","2022","Both sexes","48 years","Laois County Council","Number","1368"
"Population","2022","Both sexes","48 years","Longford County Council","Number","626"
"Population","2022","Both sexes","48 years","Louth County Council","Number","2062"
"Population","2022","Both sexes","48 years","Meath County Council","Number","3426"
"Population","2022","Both sexes","48 years","Offaly County Council","Number","1204"
"Population","2022","Both sexes","48 years","Westmeath County Council","Number","1392"
"Population","2022","Both sexes","48 years","Wexford County Council","Number","2313"
"Population","2022","Both sexes","48 years","Wicklow County Council","Number","2415"
"Population","2022","Both sexes","48 years","Clare County Council","Number","1920"
"Population","2022","Both sexes","48 years","Cork City Council","Number","2811"
"Population","2022","Both sexes","48 years","Cork County Council","Number","5576"
"Population","2022","Both sexes","48 years","Kerry County Council","Number","2228"
"Population","2022","Both sexes","48 years","Limerick City & County Council","Number","2898"
"Population","2022","Both sexes","48 years","Tipperary County Council","Number","2392"
"Population","2022","Both sexes","48 years","Waterford City & County Council","Number","1798"
"Population","2022","Both sexes","48 years","Galway City Council","Number","1038"
"Population","2022","Both sexes","48 years","Galway County Council","Number","2948"
"Population","2022","Both sexes","48 years","Leitrim County Council","Number","499"
"Population","2022","Both sexes","48 years","Mayo  County Council","Number","1863"
"Population","2022","Both sexes","48 years","Roscommon County Council","Number","992"
"Population","2022","Both sexes","48 years","Sligo County Council","Number","945"
"Population","2022","Both sexes","48 years","Cavan County Council","Number","1161"
"Population","2022","Both sexes","48 years","Donegal County Council","Number","2354"
"Population","2022","Both sexes","48 years","Monaghan County Council","Number","892"
"Population","2022","Both sexes","49 years","Ireland","Number","73731"
"Population","2022","Both sexes","49 years","Carlow County Council","Number","946"
"Population","2022","Both sexes","49 years","Dublin City Council","Number","7404"
"Population","2022","Both sexes","49 years","Dún Laoghaire Rathdown County Council","Number","3159"
"Population","2022","Both sexes","49 years","Fingal County Council","Number","5147"
"Population","2022","Both sexes","49 years","South Dublin County Council","Number","4193"
"Population","2022","Both sexes","49 years","Kildare County Council","Number","3914"
"Population","2022","Both sexes","49 years","Kilkenny County Council","Number","1614"
"Population","2022","Both sexes","49 years","Laois County Council","Number","1319"
"Population","2022","Both sexes","49 years","Longford County Council","Number","688"
"Population","2022","Both sexes","49 years","Louth County Council","Number","2084"
"Population","2022","Both sexes","49 years","Meath County Council","Number","3450"
"Population","2022","Both sexes","49 years","Offaly County Council","Number","1184"
"Population","2022","Both sexes","49 years","Westmeath County Council","Number","1341"
"Population","2022","Both sexes","49 years","Wexford County Council","Number","2413"
"Population","2022","Both sexes","49 years","Wicklow County Council","Number","2411"
"Population","2022","Both sexes","49 years","Clare County Council","Number","1923"
"Population","2022","Both sexes","49 years","Cork City Council","Number","2842"
"Population","2022","Both sexes","49 years","Cork County Council","Number","5460"
"Population","2022","Both sexes","49 years","Kerry County Council","Number","2284"
"Population","2022","Both sexes","49 years","Limerick City & County Council","Number","2923"
"Population","2022","Both sexes","49 years","Tipperary County Council","Number","2505"
"Population","2022","Both sexes","49 years","Waterford City & County Council","Number","1826"
"Population","2022","Both sexes","49 years","Galway City Council","Number","1018"
"Population","2022","Both sexes","49 years","Galway County Council","Number","2967"
"Population","2022","Both sexes","49 years","Leitrim County Council","Number","492"
"Population","2022","Both sexes","49 years","Mayo  County Council","Number","1885"
"Population","2022","Both sexes","49 years","Roscommon County Council","Number","957"
"Population","2022","Both sexes","49 years","Sligo County Council","Number","981"
"Population","2022","Both sexes","49 years","Cavan County Council","Number","1093"
"Population","2022","Both sexes","49 years","Donegal County Council","Number","2397"
"Population","2022","Both sexes","49 years","Monaghan County Council","Number","911"
"Population","2022","Both sexes","50 years","Ireland","Number","72249"
"Population","2022","Both sexes","50 years","Carlow County Council","Number","897"
"Population","2022","Both sexes","50 years","Dublin City Council","Number","7474"
"Population","2022","Both sexes","50 years","Dún Laoghaire Rathdown County Council","Number","3101"
"Population","2022","Both sexes","50 years","Fingal County Council","Number","4904"
"Population","2022","Both sexes","50 years","South Dublin County Council","Number","3895"
"Population","2022","Both sexes","50 years","Kildare County Council","Number","3778"
"Population","2022","Both sexes","50 years","Kilkenny County Council","Number","1503"
"Population","2022","Both sexes","50 years","Laois County Council","Number","1339"
"Population","2022","Both sexes","50 years","Longford County Council","Number","621"
"Population","2022","Both sexes","50 years","Louth County Council","Number","2093"
"Population","2022","Both sexes","50 years","Meath County Council","Number","3410"
"Population","2022","Both sexes","50 years","Offaly County Council","Number","1183"
"Population","2022","Both sexes","50 years","Westmeath County Council","Number","1329"
"Population","2022","Both sexes","50 years","Wexford County Council","Number","2437"
"Population","2022","Both sexes","50 years","Wicklow County Council","Number","2335"
"Population","2022","Both sexes","50 years","Clare County Council","Number","1979"
"Population","2022","Both sexes","50 years","Cork City Council","Number","2894"
"Population","2022","Both sexes","50 years","Cork County Council","Number","5363"
"Population","2022","Both sexes","50 years","Kerry County Council","Number","2261"
"Population","2022","Both sexes","50 years","Limerick City & County Council","Number","2867"
"Population","2022","Both sexes","50 years","Tipperary County Council","Number","2305"
"Population","2022","Both sexes","50 years","Waterford City & County Council","Number","1754"
"Population","2022","Both sexes","50 years","Galway City Council","Number","975"
"Population","2022","Both sexes","50 years","Galway County Council","Number","2826"
"Population","2022","Both sexes","50 years","Leitrim County Council","Number","504"
"Population","2022","Both sexes","50 years","Mayo  County Council","Number","1893"
"Population","2022","Both sexes","50 years","Roscommon County Council","Number","990"
"Population","2022","Both sexes","50 years","Sligo County Council","Number","911"
"Population","2022","Both sexes","50 years","Cavan County Council","Number","1160"
"Population","2022","Both sexes","50 years","Donegal County Council","Number","2389"
"Population","2022","Both sexes","50 years","Monaghan County Council","Number","879"
"Population","2022","Both sexes","51 years","Ireland","Number","69951"
"Population","2022","Both sexes","51 years","Carlow County Council","Number","815"
"Population","2022","Both sexes","51 years","Dublin City Council","Number","7151"
"Population","2022","Both sexes","51 years","Dún Laoghaire Rathdown County Council","Number","2983"
"Population","2022","Both sexes","51 years","Fingal County Council","Number","4566"
"Population","2022","Both sexes","51 years","South Dublin County Council","Number","3834"
"Population","2022","Both sexes","51 years","Kildare County Council","Number","3539"
"Population","2022","Both sexes","51 years","Kilkenny County Council","Number","1432"
"Population","2022","Both sexes","51 years","Laois County Council","Number","1294"
"Population","2022","Both sexes","51 years","Longford County Council","Number","658"
"Population","2022","Both sexes","51 years","Louth County Council","Number","2028"
"Population","2022","Both sexes","51 years","Meath County Council","Number","3182"
"Population","2022","Both sexes","51 years","Offaly County Council","Number","1130"
"Population","2022","Both sexes","51 years","Westmeath County Council","Number","1321"
"Population","2022","Both sexes","51 years","Wexford County Council","Number","2342"
"Population","2022","Both sexes","51 years","Wicklow County Council","Number","2342"
"Population","2022","Both sexes","51 years","Clare County Council","Number","1827"
"Population","2022","Both sexes","51 years","Cork City Council","Number","2760"
"Population","2022","Both sexes","51 years","Cork County Council","Number","5266"
"Population","2022","Both sexes","51 years","Kerry County Council","Number","2195"
"Population","2022","Both sexes","51 years","Limerick City & County Council","Number","2803"
"Population","2022","Both sexes","51 years","Tipperary County Council","Number","2351"
"Population","2022","Both sexes","51 years","Waterford City & County Council","Number","1776"
"Population","2022","Both sexes","51 years","Galway City Council","Number","997"
"Population","2022","Both sexes","51 years","Galway County Council","Number","2845"
"Population","2022","Both sexes","51 years","Leitrim County Council","Number","485"
"Population","2022","Both sexes","51 years","Mayo  County Council","Number","1888"
"Population","2022","Both sexes","51 years","Roscommon County Council","Number","956"
"Population","2022","Both sexes","51 years","Sligo County Council","Number","935"
"Population","2022","Both sexes","51 years","Cavan County Council","Number","1117"
"Population","2022","Both sexes","51 years","Donegal County Council","Number","2301"
"Population","2022","Both sexes","51 years","Monaghan County Council","Number","832"
"Population","2022","Both sexes","52 years","Ireland","Number","68770"
"Population","2022","Both sexes","52 years","Carlow County Council","Number","823"
"Population","2022","Both sexes","52 years","Dublin City Council","Number","7116"
"Population","2022","Both sexes","52 years","Dún Laoghaire Rathdown County Council","Number","2933"
"Population","2022","Both sexes","52 years","Fingal County Council","Number","4300"
"Population","2022","Both sexes","52 years","South Dublin County Council","Number","3698"
"Population","2022","Both sexes","52 years","Kildare County Council","Number","3425"
"Population","2022","Both sexes","52 years","Kilkenny County Council","Number","1409"
"Population","2022","Both sexes","52 years","Laois County Council","Number","1268"
"Population","2022","Both sexes","52 years","Longford County Council","Number","624"
"Population","2022","Both sexes","52 years","Louth County Council","Number","1965"
"Population","2022","Both sexes","52 years","Meath County Council","Number","3104"
"Population","2022","Both sexes","52 years","Offaly County Council","Number","1100"
"Population","2022","Both sexes","52 years","Westmeath County Council","Number","1308"
"Population","2022","Both sexes","52 years","Wexford County Council","Number","2335"
"Population","2022","Both sexes","52 years","Wicklow County Council","Number","2254"
"Population","2022","Both sexes","52 years","Clare County Council","Number","1895"
"Population","2022","Both sexes","52 years","Cork City Council","Number","2732"
"Population","2022","Both sexes","52 years","Cork County Council","Number","5071"
"Population","2022","Both sexes","52 years","Kerry County Council","Number","2306"
"Population","2022","Both sexes","52 years","Limerick City & County Council","Number","2795"
"Population","2022","Both sexes","52 years","Tipperary County Council","Number","2277"
"Population","2022","Both sexes","52 years","Waterford City & County Council","Number","1707"
"Population","2022","Both sexes","52 years","Galway City Council","Number","918"
"Population","2022","Both sexes","52 years","Galway County Council","Number","2729"
"Population","2022","Both sexes","52 years","Leitrim County Council","Number","506"
"Population","2022","Both sexes","52 years","Mayo  County Council","Number","1921"
"Population","2022","Both sexes","52 years","Roscommon County Council","Number","991"
"Population","2022","Both sexes","52 years","Sligo County Council","Number","942"
"Population","2022","Both sexes","52 years","Cavan County Council","Number","1110"
"Population","2022","Both sexes","52 years","Donegal County Council","Number","2352"
"Population","2022","Both sexes","52 years","Monaghan County Council","Number","856"
"Population","2022","Both sexes","53 years","Ireland","Number","64815"
"Population","2022","Both sexes","53 years","Carlow County Council","Number","785"
"Population","2022","Both sexes","53 years","Dublin City Council","Number","6622"
"Population","2022","Both sexes","53 years","Dún Laoghaire Rathdown County Council","Number","2826"
"Population","2022","Both sexes","53 years","Fingal County Council","Number","4029"
"Population","2022","Both sexes","53 years","South Dublin County Council","Number","3463"
"Population","2022","Both sexes","53 years","Kildare County Council","Number","3217"
"Population","2022","Both sexes","53 years","Kilkenny County Council","Number","1419"
"Population","2022","Both sexes","53 years","Laois County Council","Number","1162"
"Population","2022","Both sexes","53 years","Longford County Council","Number","600"
"Population","2022","Both sexes","53 years","Louth County Council","Number","1878"
"Population","2022","Both sexes","53 years","Meath County Council","Number","2879"
"Population","2022","Both sexes","53 years","Offaly County Council","Number","1067"
"Population","2022","Both sexes","53 years","Westmeath County Council","Number","1272"
"Population","2022","Both sexes","53 years","Wexford County Council","Number","2185"
"Population","2022","Both sexes","53 years","Wicklow County Council","Number","2020"
"Population","2022","Both sexes","53 years","Clare County Council","Number","1743"
"Population","2022","Both sexes","53 years","Cork City Council","Number","2525"
"Population","2022","Both sexes","53 years","Cork County Council","Number","4833"
"Population","2022","Both sexes","53 years","Kerry County Council","Number","2167"
"Population","2022","Both sexes","53 years","Limerick City & County Council","Number","2491"
"Population","2022","Both sexes","53 years","Tipperary County Council","Number","2200"
"Population","2022","Both sexes","53 years","Waterford City & County Council","Number","1696"
"Population","2022","Both sexes","53 years","Galway City Council","Number","903"
"Population","2022","Both sexes","53 years","Galway County Council","Number","2592"
"Population","2022","Both sexes","53 years","Leitrim County Council","Number","477"
"Population","2022","Both sexes","53 years","Mayo  County Council","Number","1848"
"Population","2022","Both sexes","53 years","Roscommon County Council","Number","909"
"Population","2022","Both sexes","53 years","Sligo County Council","Number","862"
"Population","2022","Both sexes","53 years","Cavan County Council","Number","1044"
"Population","2022","Both sexes","53 years","Donegal County Council","Number","2284"
"Population","2022","Both sexes","53 years","Monaghan County Council","Number","817"
"Population","2022","Both sexes","54 years","Ireland","Number","64218"
"Population","2022","Both sexes","54 years","Carlow County Council","Number","805"
"Population","2022","Both sexes","54 years","Dublin City Council","Number","6752"
"Population","2022","Both sexes","54 years","Dún Laoghaire Rathdown County Council","Number","2788"
"Population","2022","Both sexes","54 years","Fingal County Council","Number","3818"
"Population","2022","Both sexes","54 years","South Dublin County Council","Number","3334"
"Population","2022","Both sexes","54 years","Kildare County Council","Number","3132"
"Population","2022","Both sexes","54 years","Kilkenny County Council","Number","1330"
"Population","2022","Both sexes","54 years","Laois County Council","Number","1145"
"Population","2022","Both sexes","54 years","Longford County Council","Number","602"
"Population","2022","Both sexes","54 years","Louth County Council","Number","1830"
"Population","2022","Both sexes","54 years","Meath County Council","Number","2846"
"Population","2022","Both sexes","54 years","Offaly County Council","Number","1101"
"Population","2022","Both sexes","54 years","Westmeath County Council","Number","1223"
"Population","2022","Both sexes","54 years","Wexford County Council","Number","2165"
"Population","2022","Both sexes","54 years","Wicklow County Council","Number","1976"
"Population","2022","Both sexes","54 years","Clare County Council","Number","1770"
"Population","2022","Both sexes","54 years","Cork City Council","Number","2606"
"Population","2022","Both sexes","54 years","Cork County Council","Number","4708"
"Population","2022","Both sexes","54 years","Kerry County Council","Number","2105"
"Population","2022","Both sexes","54 years","Limerick City & County Council","Number","2560"
"Population","2022","Both sexes","54 years","Tipperary County Council","Number","2253"
"Population","2022","Both sexes","54 years","Waterford City & County Council","Number","1611"
"Population","2022","Both sexes","54 years","Galway City Council","Number","871"
"Population","2022","Both sexes","54 years","Galway County Council","Number","2607"
"Population","2022","Both sexes","54 years","Leitrim County Council","Number","490"
"Population","2022","Both sexes","54 years","Mayo  County Council","Number","1789"
"Population","2022","Both sexes","54 years","Roscommon County Council","Number","886"
"Population","2022","Both sexes","54 years","Sligo County Council","Number","935"
"Population","2022","Both sexes","54 years","Cavan County Council","Number","1053"
"Population","2022","Both sexes","54 years","Donegal County Council","Number","2309"
"Population","2022","Both sexes","54 years","Monaghan County Council","Number","818"
"Population","2022","Both sexes","55 years","Ireland","Number","62916"
"Population","2022","Both sexes","55 years","Carlow County Council","Number","804"
"Population","2022","Both sexes","55 years","Dublin City Council","Number","6208"
"Population","2022","Both sexes","55 years","Dún Laoghaire Rathdown County Council","Number","2883"
"Population","2022","Both sexes","55 years","Fingal County Council","Number","3660"
"Population","2022","Both sexes","55 years","South Dublin County Council","Number","3254"
"Population","2022","Both sexes","55 years","Kildare County Council","Number","3042"
"Population","2022","Both sexes","55 years","Kilkenny County Council","Number","1377"
"Population","2022","Both sexes","55 years","Laois County Council","Number","1153"
"Population","2022","Both sexes","55 years","Longford County Council","Number","590"
"Population","2022","Both sexes","55 years","Louth County Council","Number","1687"
"Population","2022","Both sexes","55 years","Meath County Council","Number","2690"
"Population","2022","Both sexes","55 years","Offaly County Council","Number","1013"
"Population","2022","Both sexes","55 years","Westmeath County Council","Number","1199"
"Population","2022","Both sexes","55 years","Wexford County Council","Number","2228"
"Population","2022","Both sexes","55 years","Wicklow County Council","Number","1994"
"Population","2022","Both sexes","55 years","Clare County Council","Number","1758"
"Population","2022","Both sexes","55 years","Cork City Council","Number","2549"
"Population","2022","Both sexes","55 years","Cork County Council","Number","4684"
"Population","2022","Both sexes","55 years","Kerry County Council","Number","2052"
"Population","2022","Both sexes","55 years","Limerick City & County Council","Number","2508"
"Population","2022","Both sexes","55 years","Tipperary County Council","Number","2248"
"Population","2022","Both sexes","55 years","Waterford City & County Council","Number","1686"
"Population","2022","Both sexes","55 years","Galway City Council","Number","879"
"Population","2022","Both sexes","55 years","Galway County Council","Number","2540"
"Population","2022","Both sexes","55 years","Leitrim County Council","Number","475"
"Population","2022","Both sexes","55 years","Mayo  County Council","Number","1841"
"Population","2022","Both sexes","55 years","Roscommon County Council","Number","965"
"Population","2022","Both sexes","55 years","Sligo County Council","Number","912"
"Population","2022","Both sexes","55 years","Cavan County Council","Number","1053"
"Population","2022","Both sexes","55 years","Donegal County Council","Number","2208"
"Population","2022","Both sexes","55 years","Monaghan County Council","Number","776"
"Population","2022","Both sexes","56 years","Ireland","Number","61963"
"Population","2022","Both sexes","56 years","Carlow County Council","Number","795"
"Population","2022","Both sexes","56 years","Dublin City Council","Number","6376"
"Population","2022","Both sexes","56 years","Dún Laoghaire Rathdown County Council","Number","2691"
"Population","2022","Both sexes","56 years","Fingal County Council","Number","3500"
"Population","2022","Both sexes","56 years","South Dublin County Council","Number","3031"
"Population","2022","Both sexes","56 years","Kildare County Council","Number","2987"
"Population","2022","Both sexes","56 years","Kilkenny County Council","Number","1353"
"Population","2022","Both sexes","56 years","Laois County Council","Number","1093"
"Population","2022","Both sexes","56 years","Longford County Council","Number","539"
"Population","2022","Both sexes","56 years","Louth County Council","Number","1752"
"Population","2022","Both sexes","56 years","Meath County Council","Number","2619"
"Population","2022","Both sexes","56 years","Offaly County Council","Number","1065"
"Population","2022","Both sexes","56 years","Westmeath County Council","Number","1130"
"Population","2022","Both sexes","56 years","Wexford County Council","Number","2094"
"Population","2022","Both sexes","56 years","Wicklow County Council","Number","2002"
"Population","2022","Both sexes","56 years","Clare County Council","Number","1739"
"Population","2022","Both sexes","56 years","Cork City Council","Number","2620"
"Population","2022","Both sexes","56 years","Cork County Council","Number","4709"
"Population","2022","Both sexes","56 years","Kerry County Council","Number","2138"
"Population","2022","Both sexes","56 years","Limerick City & County Council","Number","2445"
"Population","2022","Both sexes","56 years","Tipperary County Council","Number","2183"
"Population","2022","Both sexes","56 years","Waterford City & County Council","Number","1649"
"Population","2022","Both sexes","56 years","Galway City Council","Number","883"
"Population","2022","Both sexes","56 years","Galway County Council","Number","2448"
"Population","2022","Both sexes","56 years","Leitrim County Council","Number","457"
"Population","2022","Both sexes","56 years","Mayo  County Council","Number","1858"
"Population","2022","Both sexes","56 years","Roscommon County Council","Number","913"
"Population","2022","Both sexes","56 years","Sligo County Council","Number","888"
"Population","2022","Both sexes","56 years","Cavan County Council","Number","1038"
"Population","2022","Both sexes","56 years","Donegal County Council","Number","2198"
"Population","2022","Both sexes","56 years","Monaghan County Council","Number","770"
"Population","2022","Both sexes","57 years","Ireland","Number","62655"
"Population","2022","Both sexes","57 years","Carlow County Council","Number","740"
"Population","2022","Both sexes","57 years","Dublin City Council","Number","6439"
"Population","2022","Both sexes","57 years","Dún Laoghaire Rathdown County Council","Number","2795"
"Population","2022","Both sexes","57 years","Fingal County Council","Number","3445"
"Population","2022","Both sexes","57 years","South Dublin County Council","Number","3246"
"Population","2022","Both sexes","57 years","Kildare County Council","Number","2934"
"Population","2022","Both sexes","57 years","Kilkenny County Council","Number","1375"
"Population","2022","Both sexes","57 years","Laois County Council","Number","1054"
"Population","2022","Both sexes","57 years","Longford County Council","Number","570"
"Population","2022","Both sexes","57 years","Louth County Council","Number","1676"
"Population","2022","Both sexes","57 years","Meath County Council","Number","2716"
"Population","2022","Both sexes","57 years","Offaly County Council","Number","1060"
"Population","2022","Both sexes","57 years","Westmeath County Council","Number","1231"
"Population","2022","Both sexes","57 years","Wexford County Council","Number","2258"
"Population","2022","Both sexes","57 years","Wicklow County Council","Number","2111"
"Population","2022","Both sexes","57 years","Clare County Council","Number","1648"
"Population","2022","Both sexes","57 years","Cork City Council","Number","2648"
"Population","2022","Both sexes","57 years","Cork County Council","Number","4643"
"Population","2022","Both sexes","57 years","Kerry County Council","Number","2112"
"Population","2022","Both sexes","57 years","Limerick City & County Council","Number","2548"
"Population","2022","Both sexes","57 years","Tipperary County Council","Number","2233"
"Population","2022","Both sexes","57 years","Waterford City & County Council","Number","1664"
"Population","2022","Both sexes","57 years","Galway City Council","Number","863"
"Population","2022","Both sexes","57 years","Galway County Council","Number","2506"
"Population","2022","Both sexes","57 years","Leitrim County Council","Number","476"
"Population","2022","Both sexes","57 years","Mayo  County Council","Number","1894"
"Population","2022","Both sexes","57 years","Roscommon County Council","Number","887"
"Population","2022","Both sexes","57 years","Sligo County Council","Number","868"
"Population","2022","Both sexes","57 years","Cavan County Council","Number","991"
"Population","2022","Both sexes","57 years","Donegal County Council","Number","2226"
"Population","2022","Both sexes","57 years","Monaghan County Council","Number","798"
"Population","2022","Both sexes","58 years","Ireland","Number","60435"
"Population","2022","Both sexes","58 years","Carlow County Council","Number","724"
"Population","2022","Both sexes","58 years","Dublin City Council","Number","6309"
"Population","2022","Both sexes","58 years","Dún Laoghaire Rathdown County Council","Number","2756"
"Population","2022","Both sexes","58 years","Fingal County Council","Number","3305"
"Population","2022","Both sexes","58 years","South Dublin County Council","Number","3089"
"Population","2022","Both sexes","58 years","Kildare County Council","Number","2756"
"Population","2022","Both sexes","58 years","Kilkenny County Council","Number","1268"
"Population","2022","Both sexes","58 years","Laois County Council","Number","1070"
"Population","2022","Both sexes","58 years","Longford County Council","Number","509"
"Population","2022","Both sexes","58 years","Louth County Council","Number","1636"
"Population","2022","Both sexes","58 years","Meath County Council","Number","2440"
"Population","2022","Both sexes","58 years","Offaly County Council","Number","1044"
"Population","2022","Both sexes","58 years","Westmeath County Council","Number","1153"
"Population","2022","Both sexes","58 years","Wexford County Council","Number","2138"
"Population","2022","Both sexes","58 years","Wicklow County Council","Number","1898"
"Population","2022","Both sexes","58 years","Clare County Council","Number","1689"
"Population","2022","Both sexes","58 years","Cork City Council","Number","2686"
"Population","2022","Both sexes","58 years","Cork County Council","Number","4406"
"Population","2022","Both sexes","58 years","Kerry County Council","Number","2053"
"Population","2022","Both sexes","58 years","Limerick City & County Council","Number","2428"
"Population","2022","Both sexes","58 years","Tipperary County Council","Number","2195"
"Population","2022","Both sexes","58 years","Waterford City & County Council","Number","1628"
"Population","2022","Both sexes","58 years","Galway City Council","Number","767"
"Population","2022","Both sexes","58 years","Galway County Council","Number","2394"
"Population","2022","Both sexes","58 years","Leitrim County Council","Number","471"
"Population","2022","Both sexes","58 years","Mayo  County Council","Number","1849"
"Population","2022","Both sexes","58 years","Roscommon County Council","Number","960"
"Population","2022","Both sexes","58 years","Sligo County Council","Number","944"
"Population","2022","Both sexes","58 years","Cavan County Council","Number","964"
"Population","2022","Both sexes","58 years","Donegal County Council","Number","2133"
"Population","2022","Both sexes","58 years","Monaghan County Council","Number","773"
"Population","2022","Both sexes","59 years","Ireland","Number","59196"
"Population","2022","Both sexes","59 years","Carlow County Council","Number","743"
